LINK,CATEGORY,TITLE,SUMMARY,SENTIMENT,PUB_DATE,CLICKBAIT_PROB,ARTICLE_TYPE,TYPE_PROB
https://n.news.naver.com/mnews/article/008/0005344972?sid=101,현대차 (자동차/모빌리티),현대차·기아 나란히 강세…이란 종전 기대감,"현대차, 기아가 미국-이란 전쟁 종전 기대감으로 강세를 보이고 있다.",호재,2026-04-16 09:43,22.1,사실형,82.9
https://n.news.naver.com/mnews/article/629/0000491857?sid=101,삼성전자 (IT/반도체),"삼성전자, 유럽 테크 세미나 개최…""AI TV 대중화 본격 추진""","삼성전자, 유럽 시장에서 AI 기술이 적용된 TV 신제품을 선보이며 AI TV 대중화 본격 추진한다.",호재,2026-04-16 09:38,17.2,사실형,73.4
https://n.news.naver.com/mnews/article/215/0001249193?sid=101,삼성전자 (IT/반도체),"삼성전자 스마트싱스, '가족 돌봄' 서비스 강화","삼성전자 스마트싱스의 가족 돌봄 기능을 강화하고, 가족의 상황 정보를 제공하는 '케어 온 콜' 기능을 도입했다.",호재,2026-04-16 09:48,12.3,사실형,77.3
https://n.news.naver.com/mnews/article/003/0013890755?sid=101,삼성전자 (IT/반도체),"삼전·SK하닉, 동반 강세…글로벌 반도체 훈풍 반영[핫스탁]","삼성전자와 SK하이닉스가 글로벌 반도체 강세 흐름에 따라 강세를 보이나, 시장에서는 2분기 이후의 성장 가능성을 두고 고민하고 있다.",중립,2026-04-16 09:43,13.3,사실형,90.0
https://n.news.naver.com/mnews/article/119/0003081220?sid=101,삼성전자 (IT/반도체),"삼성전자, '스마트싱스' 업데이트…가족 케어 기능 강화",삼성전자 스마트싱스 '패밀리 케어' 서비스에 신규 기능이 대폭 추가되어 가족 돌봄 기능이 강화되었다.,호재,2026-04-16 09:52,14.9,사실형,61.4
https://n.news.naver.com/mnews/article/082/0001376313?sid=101,삼성전자 (IT/반도체),"삼성전자, 스마트싱스 업데이트…가족 돌봄 기능 강화",삼성전자 스마트싱스 업데이트로 가족 돌봄 기능이 강화되었습니다.,호재,2026-04-16 09:33,20.4,사실형,66.3
https://n.news.naver.com/mnews/article/417/0001139229?sid=101,삼성전자 (IT/반도체),"머스크 ""AI5 테이핑 아웃 축하…삼성전자 땡큐""",일론 머스크가 테슬라 AI5 칩 테이핑 아웃을 축하하며 삼성전자에 감사를 표했다.,호재,2026-04-16 09:33,17.9,사실형,97.8
https://n.news.naver.com/mnews/article/079/0004137362?sid=101,삼성전자 (IT/반도체),"부모님 돌봄도 실시간으로…삼성전자, 스마트싱스 패밀리 케어 강화","삼성전자, 스마트싱스 업데이트 통해 가족의 일상을 더 쉽게 돌보는 기능을 강화했다.",호재,2026-04-16 09:35,17.2,사실형,54.7
https://n.news.naver.com/mnews/article/014/0005508379?sid=101,LG에너지솔루션 (2차전지),"LG엔솔, 연구·전문위원 역대 최대 규모로 선임","LG엔솔, 역대 최대 규모의 연구·전문위원 17명을 선임했다.",호재,2026-04-15 18:24,42.7,사실형,75.3
https://n.news.naver.com/mnews/article/421/0008892931?sid=101,삼성전자 (IT/반도체),"""반도체주 단기 향방 고민""…삼전·닉스 보합권 숨고르기",반도체주가 시장에서 단기 방향성 고민에 빠진 것으로 보인다.,호재,2026-04-16 09:34,27.5,사실형,87.7
