LINK,CATEGORY,TITLE,SUMMARY,SENTIMENT,PUB_DATE,CLICKBAIT_PROB,ARTICLE_TYPE,TYPE_PROB
https://n.news.naver.com/mnews/article/009/0005659181?sid=103,자동차/모빌리티,"“새 고객 환영해요”…현대차그룹, 전기차 ‘웰컴 199원’ 충전 프로모...",현대차그룹이 전기차 신규 출고 고객을 대상으로 '웰컴 199원' 충전 요금 프로모션을 진행한다.,호재,2026-04-01 09:22,17.1,사실형,84.6
https://n.news.naver.com/mnews/article/366/0001153491?sid=103,자동차/모빌리티,기아 역대 1분기 최다 판매에 중견 3사도 성장… 현대차는 주춤,"기아가 전기차 호조에 힘입어 역대 1분기 중 최다 판매량을 기록했고, 현대차는 지정학적 리스크 확대로 내수와 해외 모두 3월 판매량이 감소했다.",호재,2026-04-01 18:05,25.0,사실형,97.3
https://n.news.naver.com/mnews/article/020/0003709332?sid=103,자동차/모빌리티,"美 픽업트럭 시장 공략나선 현대차, 콘셉트카 ‘볼더’ 공개","현대차그룹은 미국 시장 공략 강화를 위해 픽업트럭부터 전기차, 하이브리드, 프리미엄 모델까지 신규 콘셉트카와 신차를 대거 공개했다.",호재,2026-04-02 16:32,21.3,사실형,76.8
https://n.news.naver.com/mnews/article/016/0002621009?sid=101,자동차/모빌리티,“기름값 때문에 안되겠어” 2월 국내 전기차 신규등록 역대 최다,올해 2월 국내 전기차 신규 등록 대수가 3만5693대를 기록하며 역대 최다를 기록했다.,호재,2026-03-29 09:34,28.6,사실형,73.5
https://n.news.naver.com/mnews/article/029/0003019593?sid=101,자동차/모빌리티,"현대차·기아, 美서 1분기 최대 실적…SUV·친환경차 견인",현대차와 기아가 미국 시장에서 1분기 최대 실적을 기록하며 SUV와 친환경차 수요가 견인했다.,호재,2026-04-02 14:04,5.8,사실형,96.4
https://n.news.naver.com/mnews/article/023/0003967547?sid=101,자동차/모빌리티,보조금 늘고 값 내리니… 전기차 판매 불 붙었다,"전기차 판매가 비수기인 2월에 역대 최대를 기록했으며, 보조금 제도 개편과 가격 인하 경쟁이 주요 원인으로 작년 2월 대비 172% 급증했다.",호재,2026-03-30 00:35,18.1,사실형,74.3
https://n.news.naver.com/mnews/article/629/0000487556?sid=103,자동차/모빌리티,"현대차·기아, 3월 판매량 64만4613대…전년比 0.2%↓",현대차·기아의 3월 판매량이 전년 동월 대비 0.2% 감소한 64만4613대를 기록했다.,호재,2026-04-01 17:56,21.0,사실형,81.8
https://n.news.naver.com/mnews/article/001/0015987850?sid=101,자동차/모빌리티,2월 국내 전기차 신규등록 역대 최다…이란전쟁에 강세 이어질듯,올해 2월 국내 전기차 신규 등록 대수가 3만5천693대로 처음으로 3만대 넘어 역대 최다를 기록했다.,호재,2026-03-29 09:12,33.4,사실형,98.2
https://n.news.naver.com/mnews/article/003/0013861643?sid=101,자동차/모빌리티,미래차 드라이브 건 현대차…한진칼은 '지배구조' 강조 [2026주총결산②...,"현대차그룹은 미래차에 대한 로드맵을 공개하고, 2030년까지 북미 시장에 현대차 브랜드 신차 36종을 출시할 계획을 발표했다.",호재,2026-04-02 06:30,8.6,사실형,94.5
https://n.news.naver.com/mnews/article/092/0002417181?sid=103,자동차/모빌리티,"고유가 시대, 전기차·하이브리드 내수 급증…전동화 급물살",전기차와 하이브리드 중심으로 재편되는 국내 자동차 시장에서 기아와 현대차가 전동화 전략에 성공했다.,호재,2026-04-01 18:30,44.9,사실형,94.7
https://n.news.naver.com/mnews/article/081/0003632072?sid=101,자동차/모빌리티,현대차 ‘픽업의 성지’ 북미 공략…뉴욕에서 콘셉트카 ‘볼더’ 공개,현대차는 미국 뉴욕에서 차세대 픽업트럭 비전을 공개하며 북미 시장에 최적화한 라인업을 대거 선보였다.,호재,2026-04-03 05:11,16.6,사실형,75.6
https://n.news.naver.com/mnews/article/081/0003631958?sid=101,자동차/모빌리티,"현대차, ‘픽업의 성지’ 북미 공략…뉴욕에서 콘셉트카 ‘볼더’ 공개",현대차그룹은 미국 뉴욕에서 차세대 픽업트럭 비전을 공개하는 등 북미 시장에 최적화한 라인업을 대거 선보였다.,호재,2026-04-02 18:44,16.9,사실형,86.4
https://n.news.naver.com/mnews/article/008/0005339090?sid=101,자동차/모빌리티,현대차·기아 픽업트럭·SUV 신차로 美시장점유율 끌어올린다,현대차와 기아가 미국 고객들의 선호도가 높은 픽업트럭과 SUV로 신차 라인업을 강화해 시장 점유율을 끌어올린다는 전략을 발표했다.,호재,2026-04-02 16:20,18.6,사실형,67.9
https://n.news.naver.com/mnews/article/015/0005269303?sid=101,자동차/모빌리티,[단독] 현대차그룹 '배터리 이원화' 승부수…가성비 전기차로 中 잡는다,현대차그룹이 중저가 배터리 도입을 통해 중국 전기차와 경쟁할 계획을 발표했다.,호재,2026-03-31 17:44,36.1,사실형,68.9
https://n.news.naver.com/mnews/article/215/0001247412?sid=101,자동차/모빌리티,"현대차 ""전기차 사면 초고속 충전 ㎾h당 199원에""",현대차그룹은 전기차 신규 출고 고객을 대상으로 '웰컴 199원' 초고속 충전 요금 프로모션을 2026년 4월부터 7월까지 시행한다.,호재,2026-04-01 10:00,15.9,사실형,72.7
https://n.news.naver.com/mnews/article/079/0004130249?sid=103,자동차/모빌리티,"지난달 전기차 신규 등록 3만 5693대로, 역대 최다 기록","전기차 신규 등록이 역대 최다 기록을 달성했으며, 중동 전쟁 장기화로 전기차 선호가 지속될 전망이다.",호재,2026-03-29 12:59,51.2,사실형,74.1
https://n.news.naver.com/mnews/article/030/0003413937?sid=103,자동차/모빌리티,"현대차·기아, '2026 뉴욕 국제 오토쇼' 참가...픽업 '볼더' 콘셉트 등 공...","현대차와 기아가 2026 뉴욕 국제 오토쇼에서 콘셉트 모델 '볼더'와 셀토스, EV3 등을 공개했다.",호재,2026-04-02 10:36,15.1,사실형,98.6
https://n.news.naver.com/mnews/article/008/0005338547?sid=101,자동차/모빌리티,"""보조금에 살아난 수요""…현대차·기아 1분기 판매실적 전기차로 선방","현대차와 기아의 1분기 판매실적이 전기차로 선방했으며, 전기차 판매량이 크게 늘어났습니다.",호재,2026-04-01 17:36,17.7,사실형,86.2
https://n.news.naver.com/mnews/article/016/0002623363?sid=101,자동차/모빌리티,"현대차·기아, 美서 1분기 역대 최다 판매…무뇨스 사장 “58개 신차로 ...",현대차와 기아가 1분기 미국 시장에서 역대 최다 판매 기록을 달성했다.,호재,2026-04-02 07:52,14.4,사실형,93.9
https://n.news.naver.com/mnews/article/022/0004116629?sid=101,자동차/모빌리티,"현대차·기아, 공장 가동률 2년새 10%P ‘뚝’",현대차와 기아의 합산 공장 가동률이 2년 새 10%포인트 떨어진 것으로 나타났습니다.,호재,2026-03-30 06:04,21.9,사실형,94.9
https://n.news.naver.com/mnews/article/215/0001247745?sid=101,자동차/모빌리티,고유가 시대 전기차 수요 급증…월 10만원 대로 이용,"고유가로 전기차 판매량이 급증하고 있으며, 금융사들의 저금리 상품은 소비자들의 부담을 완화하고 있다.",호재,2026-04-03 09:21,23.7,사실형,76.8
https://n.news.naver.com/mnews/article/374/0000500891?sid=101,자동차/모빌리티,'캐즘 끝났나'…전기차 등록 월 3.5만대 역대 최다,올해 2월 국내 전기차 신규 등록 대수가 역대 최다인 3만 5693대를 기록했다.,호재,2026-03-29 09:36,47.1,추론형,20
https://n.news.naver.com/mnews/article/081/0003630284?sid=101,자동차/모빌리티,2월 국내 전기차 신규등록 역대 최다…이란 전쟁에 강세 이어질듯,"2월 국내 전기차 신규등록이 역대 최다를 기록했으며, 이란 전쟁에 따른 유가 상승에 따라 전기차 강세가 계속될 전망이다.",호재,2026-03-29 15:02,53.6,사실형,87.0
https://n.news.naver.com/mnews/article/366/0001153452?sid=103,자동차/모빌리티,4월 車 구매 혜택… 전기차 할인에 유류비 특별지원까지,4월 국내 완성차 업계가 전기차와 인기 차종을 대상으로 할인 혜택을 발표했다.,호재,2026-04-01 16:47,23.3,사실형,78.5
https://n.news.naver.com/mnews/article/001/0015987804?sid=101,자동차/모빌리티,현대차·기아 공장 가동률 2년새 10%p↓…관세·전기차 캐즘 영향,현대차와 기아의 합산 공장 가동률이 2년 새 10%포인트 떨어진 것으로 나타났습니다.,악재,2026-03-29 08:00,19.5,사실형,93.6
https://n.news.naver.com/mnews/article/018/0006247078?sid=103,자동차/모빌리티,"현대차그룹, 새 전기차 고객 충전 kWh당 199원 프로모션",현대차그룹이 전기차 구매 심리를 완화하고 신규 고객의 초기 부담을 줄이기 위한 '웰컴 199원' 충전 요금 프로모션을 시행한다.,호재,2026-04-01 09:22,21.9,사실형,65.5
https://n.news.naver.com/mnews/article/014/0005500850?sid=101,자동차/모빌리티,"현대차그룹, 신규 전기차 고객 '충전요금 지원' 프로모션 실시",현대차그룹이 신규 전기차 고객을 대상으로 E-pit 초고속 충전 요금을 kWh당 199원에 제공하는 프로모션을 시행한다.,호재,2026-04-01 12:35,21.4,사실형,56.2
https://n.news.naver.com/mnews/article/123/0002380607?sid=101,자동차/모빌리티,현대차 1분기 판매량 2.6% 줄어 '주춤'…기아는 '역대 최다',"현대차는 1분기 판매량 2.6% 줄어 '주춤'했지만, 기아는 역대 최다 판매 실적을 달성했다.",호재,2026-04-02 07:02,13.4,사실형,92.8
