age,job_type,risk_preference,current_asset,monthly_income,monthly_expense,monthly_cashflow,goal_amount,goal_months,expected_return,future_asset,shortage_amount,achievable
31,employee,low,18893020,1901321,824378,1076943,580000,57,0.0164,84217280,0,1
40,employee,medium,26494825,4247620,2457878,1789742,46000,77,0.0485,197428579,0,1
36,self_employed,medium,0,0,0,0,10000,49,0.0303,0,10000,0
30,employee,low,15612535,3585508,2644487,941021,10000,43,0.022,58953440,0,1
46,professional,high,29712217,5246100,3382138,1863962,10000,1,0.0981,31819076,0,1
26,freelancer,medium,8773922,969526,667858,301668,403000,51,0.0406,27184605,0,1
20,student,medium,1314671,0,123531,-123531,1293000,29,0.0469,0,1293000,0
20,student,low,1201379,934401,424989,509412,10000,70,0.0122,38228840,0,1
34,employee,low,33978534,3192169,2047196,1144973,102000,4,0.023,38832862,0,1
24,student,low,0,1355756,915115,440641,485000,56,0.0273,26284851,0,1
44,self_employed,medium,0,7524272,4150507,3373765,1314000,45,0.0332,161437505,0,1
22,student,low,5727589,0,1593915,-1593915,10000,62,0.0118,0,10000,0
37,self_employed,high,46954486,3653218,2375650,1277568,2090000,74,0.0647,185703272,0,1
36,employee,low,12664532,3630912,1740485,1890427,60000,23,0.026,57842899,0,1
22,employee,medium,23169580,4473178,3001380,1471798,10000,74,0.0499,158720600,0,1
19,student,low,0,43881,32552,11329,996000,40,0.024,471289,524711,0
22,employee,low,26007673,4715798,3244207,1471591,1875000,1,0.0179,27518059,0,1
23,student,low,0,300205,269930,30275,1662000,34,0.0275,1069241,592759,0
28,employee,medium,9015372,2898406,2043343,855063,10000,74,0.0468,85211359,0,1
26,freelancer,high,0,2936518,2353167,583351,1351000,10,0.088,6029829,0,1
35,professional,medium,41050198,3913080,2453042,1460038,1606000,21,0.0384,75560978,0,1
39,freelancer,medium,0,0,0,0,1010000,47,0.051,0,1010000,0
44,freelancer,low,28703686,0,10808527,-10808527,10000,61,0.0274,0,10000,0
26,freelancer,medium,9690933,0,3332258,-3332258,10000,45,0.0346,0,10000,0
26,self_employed,low,38167999,7228805,5027283,2201522,1665000,61,0.0259,186902009,0,1
27,employee,high,18589813,5054394,2895857,2158537,599000,40,0.0863,124390665,0,1
